id,description,location,latitude,longitude,service,delivery,skills,time_window_start,time_window_end
1,"Fidel Langosh","39.9763668334, -82.8679299649",39.9763668334,-82.8679299649,600,8,"4",2025-07-11 19:00:00,2025-07-11 20:00:00
2,"Caterina Romaguera","40.0641901982, -82.8890786797",40.0641901982,-82.8890786797,600,11,"3",2025-07-11 14:00:00,2025-07-11 15:00:00
3,"Lucinda Morissette","40.0872944635, -82.9847662351",40.0872944635,-82.9847662351,600,8,"4",2025-07-11 12:00:00,2025-07-11 13:00:00
4,"Alayna Schultz","39.948004009, -83.0326150083",39.948004009,-83.0326150083,600,13,"4",2025-07-11 13:00:00,2025-07-11 14:00:00
5,"Lily Wilkinson","39.9523484915, -82.9356692959",39.9523484915,-82.9356692959,600,11,"4",2025-07-11 19:00:00,2025-07-11 20:00:00
6,"Ross Marks","40.081162717, -82.9123215419",40.081162717,-82.9123215419,600,12,"3",2025-07-11 18:00:00,2025-07-11 19:00:00
7,"Leone Strosin","40.0735008239, -83.0758831057",40.0735008239,-83.0758831057,600,11,"2",2025-07-11 17:00:00,2025-07-11 18:00:00
8,"Jordyn Bechtelar","40.0176727215, -82.9619961695",40.0176727215,-82.9619961695,600,10,"4",2025-07-11 13:00:00,2025-07-11 14:00:00
9,"Avery Klocko","40.1093504889, -83.0631805991",40.1093504889,-83.0631805991,600,9,"2",2025-07-11 16:00:00,2025-07-11 17:00:00
10,"Era Ryan","40.0838797049, -82.9168196794",40.0838797049,-82.9168196794,600,13,"4",2025-07-11 12:00:00,2025-07-11 13:00:00
11,"Kian Beer","39.9428554733, -82.8691380884",39.9428554733,-82.8691380884,600,8,"4",2025-07-11 17:00:00,2025-07-11 18:00:00
12,"Thaddeus Ziemann","40.0595173576, -83.1133168023",40.0595173576,-83.1133168023,600,6,"4",2025-07-11 18:00:00,2025-07-11 19:00:00
13,"Jodie Kerluke","39.9628373704, -83.1241573351",39.9628373704,-83.1241573351,600,6,"2",2025-07-11 17:00:00,2025-07-11 18:00:00
14,"Anthony Feeney","40.0650971371, -83.0387684027",40.0650971371,-83.0387684027,600,15,"3",2025-07-11 15:00:00,2025-07-11 16:00:00
15,"Bernita Nienow","39.9162765347, -82.9636647511",39.9162765347,-82.9636647511,600,12,"4",2025-07-11 14:00:00,2025-07-11 15:00:00
16,"Vicky Leannon","40.0481838727, -82.9269365554",40.0481838727,-82.9269365554,600,10,"4",2025-07-11 19:00:00,2025-07-11 20:00:00
17,"Sim Heller","40.057145357, -83.0990883247",40.057145357,-83.0990883247,600,9,"2",2025-07-11 12:00:00,2025-07-11 13:00:00
18,"Dorothea Kreiger","40.0365911889, -83.1320505498",40.0365911889,-83.1320505498,600,5,"2",2025-07-11 16:00:00,2025-07-11 17:00:00
19,"Dana Willms","39.9767038854, -82.9106117897",39.9767038854,-82.9106117897,600,6,"2",2025-07-11 13:00:00,2025-07-11 14:00:00
20,"Raul Donnelly","40.0038222243, -82.9283170184",40.0038222243,-82.9283170184,600,10,"2",2025-07-11 16:00:00,2025-07-11 17:00:00
21,"Dana Durgan","39.8953983379, -82.9019188503",39.8953983379,-82.9019188503,600,11,"4",2025-07-11 14:00:00,2025-07-11 15:00:00
22,"Herminio Hoppe","39.9752485324, -82.9286806135",39.9752485324,-82.9286806135,600,6,"2",2025-07-11 17:00:00,2025-07-11 18:00:00
23,"Harmony Crist","39.9769097208, -82.9302865999",39.9769097208,-82.9302865999,600,14,"4",2025-07-11 17:00:00,2025-07-11 18:00:00
24,"Margarita Quigley","39.923631523, -82.9271398536",39.923631523,-82.9271398536,600,8,"2",2025-07-11 14:00:00,2025-07-11 15:00:00
25,"Nyasia Abshire","39.9892476273, -83.1225932776",39.9892476273,-83.1225932776,600,8,"3",2025-07-11 15:00:00,2025-07-11 16:00:00
26,"Armand Jacobson","39.9684291039, -83.0350676179",39.9684291039,-83.0350676179,600,5,"3",2025-07-11 17:00:00,2025-07-11 18:00:00
27,"Sophia Vandervort","40.082365814, -83.0279660225",40.082365814,-83.0279660225,600,9,"4",2025-07-11 13:00:00,2025-07-11 14:00:00
