id,description,location,latitude,longitude,service,delivery,skills,time_window_start,time_window_end
61117-2,"61117|ULSD Clear","33.434477, -112.18419",33.434477,-112.18419,1200,"[239,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
62483-3,"62483|ULSD Clear","33.454461, -112.167345",33.454461,-112.167345,3540,"[658,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81840-4,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,480,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
124548-5,"124548|ULSD Clear","33.479124, -112.124564",33.479124,-112.124564,7620,"[192,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
125327-6,"125327|ULSD Clear","33.4576975, -112.1054091",33.4576975,-112.1054091,5100,"[383,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
125348-7,"125348|ULSD Clear","33.479124, -112.124564",33.479124,-112.124564,7620,"[58,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
126227-8,"126227|ULSD Clear","33.40426, -111.997068",33.40426,-111.997068,1500,"[42,0]","",2025-07-16 17:00:00,2025-07-17 17:00:00
126285-9,"126285|ULSD Clear","33.4173688, -112.0650857",33.4173688,-112.0650857,2940,"[258,0]","",2025-07-16 16:30:00,2025-07-16 20:00:00
126300-10,"126300|ULSD Clear","33.408162, -111.987342",33.408162,-111.987342,2280,"[107,0]","",2025-07-16 14:30:00,2025-07-17 14:30:00
126889-11,"126889|ULSD Dyed","33.41392, -112.004794",33.41392,-112.004794,2100,"[0,13]","",2025-07-16 18:00:00,2025-07-17 18:00:00
128832-12,"128832|ULSD Dyed","33.7759795, -112.1604877",33.7759795,-112.1604877,1440,"[0,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
129857-13,"129857|ULSD Dyed","33.6814392, -111.9805145",33.6814392,-111.9805145,900,"[0,45]","",2025-07-16 12:00:00,2025-07-17 12:00:00
130469-14,"130469|ULSD Dyed","33.4137854, -112.3730374",33.4137854,-112.3730374,300,"[0,182]","",2025-07-16 12:00:00,2025-07-17 12:00:00
150502-15,"150502|ULSD Dyed","33.303908, -111.961947",33.303908,-111.961947,4380,"[0,1782]","",2025-07-16 08:00:00,2025-07-16 16:00:00
150759-16,"150759|ULSD Dyed","33.43659, -112.3786",33.43659,-112.3786,1020,"[0,237]","",2025-07-16 08:00:00,2025-07-16 16:00:00
152940-17,"152940|ULSD Dyed","33.490086, -112.440136",33.490086,-112.440136,1740,"[0,441]","",2025-07-16 08:00:00,2025-07-16 16:00:00
155479-18,"155479|ULSD Dyed","33.452087, -112.114231",33.452087,-112.114231,660,"[0,162]","",2025-07-16 08:00:00,2025-07-16 16:00:00
172293-19,"172293|ULSD Dyed","33.56715, -112.1278",33.56715,-112.1278,960,"[0,19]","",2025-07-16 08:00:00,2025-07-16 16:00:00
62623-20,"62623|ULSD Dyed","33.456581, -112.317345",33.456581,-112.317345,4560,"[0,239]","",2025-07-16 04:00:00,2025-07-16 06:00:00
81840-21,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,240,"[34,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
