id,description,location,latitude,longitude,service,delivery,skills,time_window_start,time_window_end
61117-2,"61117|1549 South 59th Avenue , Phoenix, AZ|ULSD Clear","33.434477, -112.18419",33.434477,-112.18419,1200,"[239, 0, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
62483-3,"62483|515 North 51st Avenue, Phoenix, AZ|ULSD Clear","33.454461, -112.167345",33.454461,-112.167345,3540,"[658, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
81840-4,"81840|4715 West Buckeye Road, Phoenix, AZ|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,480,"[0, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
124548-5,"124548|2831 North 31st Avenue, Phoenix, AZ|ULSD Clear","33.479124, -112.124564",33.479124,-112.124564,7620,"[192, 0, 0, 0, 0]",,2025-07-16 19:00:00,2025-07-17 19:00:00
125327-6,"125327|2131 W Roosevelt Street, Phoenix, AZ|ULSD Clear","33.4576975, -112.1054091",33.4576975,-112.1054091,5100,"[383, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
125348-7,"125348|2831 North 31st Avenue, Phoenix, AZ|ULSD Clear","33.479124, -112.124564",33.479124,-112.124564,7620,"[58, 0, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
126227-8,"126227|3910 East Wier Avenue , Phoenix, AZ|ULSD Clear","33.40426, -111.997068",33.40426,-111.997068,1500,"[42, 0, 0, 0, 0]",,2025-07-16 17:00:00,2025-07-17 17:00:00
126285-9,"126285|3200 South 7th Street , Phoenix, AZ|ULSD Clear","33.4173688, -112.0650857",33.4173688,-112.0650857,2940,"[258, 0, 0, 0, 0]",,2025-07-16 16:30:00,2025-07-16 20:00:00
126300-10,"126300|4239 South 43rd Place , Phoenix, AZ|ULSD Clear","33.408162, -111.987342",33.408162,-111.987342,2280,"[107, 0, 0, 0, 0]",,2025-07-16 14:30:00,2025-07-17 14:30:00
126889-11,"126889|3612 South 36th Street , Phoenix, AZ|ULSD Dyed","33.41392, -112.004794",33.41392,-112.004794,2100,"[0, 13, 0, 0, 0]",,2025-07-16 18:00:00,2025-07-17 18:00:00
128832-12,"128832|5088 W Innovation Pkwy, Phoenix, AZ|ULSD Dyed","33.7759795, -112.1604877",33.7759795,-112.1604877,1440,"[0, 0, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
129857-13,"129857|320 E Deer Valley Dr, Phoenix, AZ|ULSD Dyed","33.6814392, -111.9805145",33.6814392,-111.9805145,900,"[0, 45, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
130469-14,"130469|14250 W El Sol, Goodyear, AZ|ULSD Dyed","33.4137854, -112.3730374",33.4137854,-112.3730374,300,"[0, 182, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
150502-15,"150502|33 S 56th St Suite 102, Chandler, AZ|ULSD Dyed","33.303908, -111.961947",33.303908,-111.961947,4380,"[0, 1782, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
150759-16,"150759|850 S Bullard Ave, Goodyear, AZ|ULSD Dyed","33.43659, -112.3786",33.43659,-112.3786,1020,"[0, 237, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
152940-17,"152940|3785 N CITRUS Road, Phoenix, AZ|ULSD Dyed","33.490086, -112.440136",33.490086,-112.440136,1740,"[0, 441, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
155479-18,"155479|319 North 26th Avenue , Phoenix, AZ|ULSD Dyed","33.452087, -112.114231",33.452087,-112.114231,660,"[0, 162, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
172293-19,"172293|8828 N 31st Ave, Phoenix, AZ|ULSD Dyed","33.56715, -112.1278",33.56715,-112.1278,960,"[0, 19, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
62623-20,"62623|750 North 119th Avenue, Avondale, AZ|ULSD Dyed","33.456581, -112.317345",33.456581,-112.317345,4560,"[0, 239, 0, 0, 0]",,2025-07-16 04:00:00,2025-07-16 06:00:00
81840-21,"81840|4715 West Buckeye Road, Phoenix, AZ|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,240,"[34, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
124516-22,"124516|8602 West Buckeye Road, Tolleson, AZ|ULSD Clear","33.438311, -112.24737",33.438311,-112.24737,6780,"[803, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
125392-23,"125392|36492 North 51st Avenue , Anthem, AZ|ULSD Dyed","33.7982873, -112.1696578",33.7982873,-112.1696578,1320,"[0, 312, 0, 0, 0]",,2025-07-16 00:00:00,2025-07-17 00:00:00
126025-24,"126025|8525 N 75th Avenue , Peoria, AZ|DEF","33.560605, -112.218089",33.560605,-112.218089,1500,"[0, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
126433-25,"126433|3002 East Old Tower Road , Phoenix, AZ|ULSD Clear","33.4235357, -112.0157934",33.4235357,-112.0157934,6720,"[1167, 0, 0, 0, 0]",,2025-07-16 20:00:00,2025-07-17 20:00:00
130310-26,"130310|4350 S 18th Ave, Phoenix, AZ|ULSD Clear","33.40976, -112.0951",33.40976,-112.0951,1860,"[547, 0, 0, 0, 0]",,2025-07-16 20:00:00,2025-07-17 20:00:00
142302-27,"142302|3856 S Everton Terrace, Mesa, AZ|ULSD Dyed","33.3448055, -111.6189128",33.3448055,-111.6189128,120,"[0, 12, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
147501-28,"147501|13255 West Sweatwater Avenue, Surprise, AZ|ULSD Clear","33.600126, -112.345584",33.600126,-112.345584,2220,"[155, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:30:00
149762-29,"149762|NEC 32nd St and McDowell, Mesa, AZ|ULSD Clear","33.455766, -111.760519",33.455766,-111.760519,420,"[215, 0, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
150660-30,"150660|13550 W Auto Dr, Goodyear, AZ|ULSD Dyed","33.452093, -112.35161",33.452093,-112.35161,1920,"[0, 376, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
153205-31,"153205|1975 S 99th Ave, Tolleson, AZ|ULSD Dyed","33.4285298, -112.2724977",33.4285298,-112.2724977,1860,"[0, 30, 0, 0, 0]",,2025-07-16 06:00:00,2025-07-16 15:00:00
154133-32,"154133|12250 W Corporate Dr, Avondale, AZ|ULSD Dyed","33.4526293, -112.3173844",33.4526293,-112.3173844,960,"[0, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
158382-33,"158382|1431 North Recker Rd, Gilbert, AZ|ULSD Dyed","33.3763745, -111.7043554",33.3763745,-111.7043554,1140,"[0, 629, 0, 0, 0]",,2025-07-16 00:00:00,2025-07-17 00:00:00
158452-34,"158452|NEC 64th St and Mayo Blvd, Phoenix, AZ|ULSD Dyed","33.582229, -111.944216",33.582229,-111.944216,1740,"[0, 93, 0, 0, 0]",,2025-07-16 00:00:00,2025-07-17 00:00:00
162845-35,"162845|3340 E Warner Rd, Gilbert, AZ|ULSD Dyed","33.3360326, -111.7171873",33.3360326,-111.7171873,840,"[0, 64, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
162983-36,"162983|SE Verrado & McDowell, Buckeye, AZ|ULSD Dyed","33.466268, -112.5013",33.466268,-112.5013,1560,"[0, 356, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
170914-37,"170914|1325 S. Signal Butte Road , Mesa, AZ|ULSD Clear","33.392832, -111.5979173",33.392832,-111.5979173,2520,"[58, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
62522-38,"62522|859 South 86th Avenue , Tolleson, AZ|ULSD Dyed","33.439704, -112.24374",33.439704,-112.24374,1980,"[0, 97, 0, 0, 0]",,2025-07-16 06:00:00,2025-07-16 10:00:00
121748-39,"121748|3045 South 35th Avenue, Phoenix, AZ|ULSD Dyed","33.419256, -112.133344",33.419256,-112.133344,2760,"[0, 58, 0, 0, 0]",,2025-07-16 19:00:00,2025-07-16 22:00:00
124520-40,"124520|420 South 53rd Avenue Suite 101, Phoenix, AZ|ULSD Dyed","33.442564, -112.173494",33.442564,-112.173494,6480,"[0, 141, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-16 16:00:00
126106-41,"126106|7831 N 67th Ave, Glendale, AZ|ULSD Clear","33.5515337, -112.2026333",33.5515337,-112.2026333,1800,"[111, 0, 0, 0, 0]",,2025-07-16 17:00:00,2025-07-17 17:00:00
126228-42,"126228|402 South 54th Place , Phoenix, AZ|ULSD Dyed","33.4429001, -111.9662533",33.4429001,-111.9662533,4860,"[0, 78, 0, 0, 0]",,2025-07-16 00:00:00,2025-07-17 00:00:00
127000-43,"127000|1198 West Fairmont Drive , Tempe, AZ|ULSD Clear","33.396939, -111.957486",33.396939,-111.957486,2820,"[110, 0, 0, 0, 0]",,2025-07-16 02:00:00,2025-07-17 02:00:00
129217-44,"129217|4750 West Mohave Street , Phoenix, AZ|ULSD Clear","33.434615, -112.167224",33.434615,-112.167224,660,"[48, 0, 0, 0, 0]",,2025-07-16 06:00:00,2025-07-16 09:00:00
133961-45,"133961|3856 S Everton Terrace, Mesa, AZ|ULSD Dyed","33.3448055, -111.6189128",33.3448055,-111.6189128,360,"[0, 121, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
134782-46,"134782|NWC of North 150th Drive and McDowell, Goodyear, AZ|ULSD Dyed","33.476552, -112.382633",33.476552,-112.382633,480,"[0, 12, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
137797-47,"137797|7201 E. Henkel Way, Scottsdale, AZ|ULSD Dyed","33.6592671, -111.9232216",33.6592671,-111.9232216,1560,"[0, 81, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
142951-48,"142951|44167 N Ironwood Dr, Queen Creek, AZ|ULSD Dyed","33.2936913, -111.563238",33.2936913,-111.563238,480,"[0, 276, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
149971-49,"149971|4780 North Cotton Lane, Goodyear, AZ|ULSD Clear","33.502528, -112.430981",33.502528,-112.430981,1860,"[0, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
159007-50,"159007|8787 West Buckeye Road, Tolleson, AZ|ULSD Clear","33.4355035, -112.248653",33.4355035,-112.248653,5460,"[934, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
162264-51,"162264|8785 N Reems Rd, El Mirage, AZ|ULSD Dyed","33.5617783, -112.324449",33.5617783,-112.324449,1800,"[0, 350, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
171111-52,"171111|624 N. 44th Ave, Phoenix, AZ|ULSD Dyed","33.456251, -112.157261",33.456251,-112.157261,1140,"[0, 691, 0, 0, 0]",,2025-07-16 00:00:00,2025-07-17 00:00:00
173415-53,"173415|11923 West Indian School, Avondale, AZ|ULSD Clear","33.490739, -112.318362",33.490739,-112.318362,2400,"[106, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
62852-54,"62852|211 South 49th Ave, Phoenix, AZ|ULSD Dyed","33.446077, -112.165334",33.446077,-112.165334,4620,"[0, 93, 0, 0, 0]",,2025-07-16 18:00:00,2025-07-16 22:00:00
81840-55,"81840|4715 West Buckeye Road, Phoenix, AZ|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,300,"[35, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
81840-56,"81840|4715 West Buckeye Road, Phoenix, AZ|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,300,"[33, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
124914-57,"124914|3575 South 28th Street Suite 100, Phoenix, AZ|ULSD Clear","33.415268, -112.020504",33.415268,-112.020504,1260,"[203, 0, 0, 0, 0]",,2025-07-16 19:00:00,2025-07-17 19:00:00
125455-58,"125455|7600 West Roosevelt Street, Phoenix, AZ|ULSD Clear","33.4598, -112.2228999",33.4598,-112.2228999,8340,"[41, 0, 0, 0, 0]",,2025-07-16 07:00:00,2025-07-17 07:00:00
126295-59,"126295|3121 South 40th Street , Waddell, AZ|ULSD Clear","33.4194354, -111.9953836",33.4194354,-111.9953836,2340,"[64, 0, 0, 0, 0]",,2025-07-16 15:00:00,2025-07-16 23:30:00
126997-60,"126997|245 South Nina Drive , Mesa, AZ|ULSD Clear","33.4106566, -111.8505337",33.4106566,-111.8505337,4800,"[180, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
128832-61,"128832|5088 W Innovation Pkwy, Phoenix, AZ|ULSD Dyed","33.7759795, -112.1604877",33.7759795,-112.1604877,120,"[0, 4, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
128832-62,"128832|5088 W Innovation Pkwy, Phoenix, AZ|ULSD Dyed","33.7759795, -112.1604877",33.7759795,-112.1604877,660,"[0, 6, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
129200-63,"129200|580 S 143rd Ave, Goodyear, AZ|ULSD Clear","33.441249, -112.372212",33.441249,-112.372212,1140,"[135, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
133961-64,"133961|3856 S Everton Terrace, Mesa, AZ|ULSD Dyed","33.3448055, -111.6189128",33.3448055,-111.6189128,4020,"[0, 1342, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
135664-65,"135664|4775 E Washington St, Phoenix, AZ|ULSD Clear","33.4468707, -111.9796196",33.4468707,-111.9796196,180,"[12, 0, 0, 0, 0]",,2025-07-16 05:30:00,2025-07-16 15:00:00
136733-66,"136733|6902 E Greenway Parkway, Scottsdale, AZ|ULSD Dyed","33.6256375, -111.9325224",33.6256375,-111.9325224,1740,"[0, 117, 0, 0, 0]",,2025-07-16 06:00:00,2025-07-16 15:00:00
138426-67,"138426|4626 South 40th St, Phoenix, AZ|ULSD Clear","33.404559, -111.995977",33.404559,-111.995977,4140,"[337, 0, 0, 0, 0]",,2025-07-16 15:30:00,2025-07-16 17:00:00
151073-68,"151073|14390 W Celebrate Life Way, Goodyear, AZ|ULSD Dyed","33.4529753, -112.3718118",33.4529753,-112.3718118,600,"[0, 293, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
152940-69,"152940|3785 N CITRUS Road, Phoenix, AZ|DEF","33.490086, -112.440136",33.490086,-112.440136,360,"[0, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
157500-70,"157500|163rd Ave & W. Planada Lane, Surprise, AZ|ULSD Clear","33.694937, -112.401683",33.694937,-112.401683,2460,"[27, 0, 0, 0, 0]",,2025-07-16 00:00:00,2025-07-17 00:00:00
158052-71,"158052|SE Verrado & McDowell, Buckeye, AZ|ULSD Dyed","33.466268, -112.5013",33.466268,-112.5013,5220,"[0, 74, 0, 0, 0]",,2025-07-16 00:00:00,2025-07-17 00:00:00
81840-72,"81840|4715 West Buckeye Road, Phoenix, AZ|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,600,"[5, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
81840-73,"81840|4715 West Buckeye Road, Phoenix, AZ|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,540,"[20, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
124560-74,"124560|3001 W Whitton Avenue, Phoenix, AZ|ULSD Clear","33.489362, -112.124548",33.489362,-112.124548,2580,"[535, 0, 0, 0, 0]",,2025-07-16 17:00:00,2025-07-16 19:00:00
126025-75,"126025|8525 N 75th Avenue , Peoria, AZ|ULSD Dyed","33.560605, -112.218089",33.560605,-112.218089,10680,"[0, 63, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
126045-76,"126045|21829 North 16th Street , Phoenix, AZ|ULSD Clear","33.685421, -112.045223",33.685421,-112.045223,10440,"[1868, 0, 0, 0, 0]",,2025-07-16 18:00:00,2025-07-17 18:00:00
127713-77,"127713|8390 South Kyrene , Tempe, AZ|ULSD Clear","33.338357, -111.946217",33.338357,-111.946217,3240,"[222, 0, 0, 0, 0]",,2025-07-16 20:00:00,2025-07-17 20:00:00
128116-78,"128116|2887 South Market Street , Gilbert, AZ|ULSD Dyed","33.296095, -111.745647",33.296095,-111.745647,600,"[0, 31, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
129189-79,"129189|16920 West Commerce Drive , Goodyear, AZ|ULSD Clear","33.412039, -112.421796",33.412039,-112.421796,480,"[52, 0, 0, 0, 0]",,2025-07-16 10:00:00,2025-07-16 12:00:00
129857-80,"129857|320 E Deer Valley Dr, Phoenix, AZ|ULSD Clear","33.6814392, -111.9805145",33.6814392,-111.9805145,420,"[15, 0, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
135605-81,"135605|NEC 32nd St and McDowell, Mesa, AZ|ULSD Clear","33.455766, -111.760519",33.455766,-111.760519,1380,"[194, 0, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
152739-82,"152739|44167 N Ironwood Drive, San Tan Valley, AZ|ULSD Dyed","33.2936913, -111.563238",33.2936913,-111.563238,1260,"[0, 64, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
155475-83,"155475|18304 West Lower Buckeye , Buckeye, AZ|ULSD Dyed","33.422936, -112.453706",33.422936,-112.453706,840,"[0, 168, 0, 0, 0]",,2025-07-16 06:30:00,2025-07-16 13:30:00
159405-84,"159405|5301 W Bethany Home Road, Phoenix, AZ|ULSD Clear","33.5239097, -112.0857283",33.5239097,-112.0857283,960,"[286, 0, 0, 0, 0]",,2025-07-16 06:00:00,2025-07-16 11:00:00
159952-85,"159952|5757 Lower Buckeye Road, Phoenix, AZ|ULSD Clear","33.420339, -112.184674",33.420339,-112.184674,4080,"[470, 0, 0, 0, 0]",,2025-07-16 15:00:00,2025-07-16 20:00:00
160541-86,"160541|335 E Pecos Rd, San Tan Valley, AZ|ULSD Dyed","33.293379, -111.567631",33.293379,-111.567631,480,"[0, 72, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
171924-87,"171924|20555 N 55th St , Phoenix, AZ|ULSD Dyed","33.690163, -111.955716",33.690163,-111.955716,1740,"[0, 45, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
61118-88,"61118|1411 South 47th Avenue, Phoenix, AZ|ULSD Clear","33.434576, -112.15826",33.434576,-112.15826,1380,"[284, 0, 0, 0, 0]",,2025-07-16 07:00:00,2025-07-17 07:00:00
62622-89,"62622|2375 South 45th Avenue, Phoenix, AZ|ULSD Clear","33.389963, -112.15485",33.389963,-112.15485,6960,"[1290, 0, 0, 0, 0]",,2025-07-16 11:00:00,2025-07-16 21:00:00
64873-90,"64873|3132 West Lincoln Street, Phoenix, AZ|ULSD Clear","33.442728, -112.127457",33.442728,-112.127457,1020,"[148, 0, 0, 0, 0]",,2025-07-16 16:30:00,2025-07-17 16:30:00
124550-91,"124550|1305 N 27th Ave, Phoenix, AZ|ULSD Clear","33.462756, -112.115891",33.462756,-112.115891,3240,"[446, 0, 0, 0, 0]",,2025-07-16 18:00:00,2025-07-17 18:00:00
126300-92,"126300|4239 South 43rd Place , Phoenix, AZ|ULSD Dyed","33.408162, -111.987342",33.408162,-111.987342,2280,"[0, 68, 0, 0, 0]",,2025-07-16 14:30:00,2025-07-17 14:30:00
126863-93,"126863|6613 West Van Buren Street , Phoenix, AZ|ULSD Dyed","33.4515199, -112.2016245",33.4515199,-112.2016245,720,"[0, 74, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 14:00:00
127711-94,"127711|1475 North McQueen Road, Gilbert, AZ|ULSD Clear","33.377188, -111.82434",33.377188,-111.82434,6480,"[312, 0, 0, 0, 0]",,2025-07-16 16:00:00,2025-07-17 16:00:00
129260-95,"129260|17341 West Minnezona Avenue , Goodyear, AZ|ULSD Clear","33.501124, -112.392801",33.501124,-112.392801,2400,"[295, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
147501-96,"147501|13255 West Sweatwater Avenue, Surprise, AZ|ULSD Dyed","33.600126, -112.345584",33.600126,-112.345584,1320,"[0, 128, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:30:00
149762-97,"149762|NEC 32nd St and McDowell, Mesa, AZ|ULSD Dyed","33.455766, -111.760519",33.455766,-111.760519,1500,"[0, 710, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
150143-98,"150143|5818 E Baseline Rd, Mesa, AZ|ULSD Dyed","33.379926, -111.706006",33.379926,-111.706006,840,"[0, 30, 0, 0, 0]",,2025-07-16 00:00:00,2025-07-17 00:00:00
150454-99,"150454|335 E. Pecos Rd, Queen Creek, AZ|ULSD Dyed","33.2919446, -111.7827272",33.2919446,-111.7827272,480,"[0, 47, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
159405-100,"159405|5301 W Bethany Home Road, Phoenix, AZ|ULSD Dyed","33.5239097, -112.0857283",33.5239097,-112.0857283,360,"[0, 3, 0, 0, 0]",,2025-07-16 06:00:00,2025-07-16 11:00:00
162819-101,"162819|7232 East Elliot Road, Mesa, AZ|ULSD Dyed","33.3503435, -111.660641",33.3503435,-111.660641,1920,"[0, 710, 0, 0, 0]",,2025-07-16 12:00:00,2025-07-17 12:00:00
170906-102,"170906|14501 West La Estrella, Goodyear, AZ|DEF","33.4101598, -112.3708126",33.4101598,-112.3708126,1560,"[0, 0, 0, 0, 0]",,2025-07-16 08:00:00,2025-07-16 16:00:00
